1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
442	0.826428	0.000000	5.618935	0.012214	19.9
443	0.867827	0.000000	5.618935	0.011551	20.4
444	0.892472	0.000000	5.618935	0.014171	23.1
445	0.823721	0.000000	5.618935	0.011741	20.0
446	0.864541	0.000000	5.618935	0.012107	24.5
447	0.849191	0.000000	5.618935	0.013547	23.6
448	0.799197	0.000000	5.618935	0.012211	23.3
449	0.862444	0.000000	5.618935	0.012813	23.0
450	0.852606	0.000000	5.618935	0.012525	26.6
451	0.840738	0.000000	5.618935	0.011426	24.8
452	0.863360	0.000000	5.618935	0.011611	20.0
453	0.807337	0.000000	5.618935	0.011131	20.7
454	0.806280	0.000000	5.618935	0.011523	25.3
455	0.830763	0.000000	5.618935	0.011572	22.9
456	0.819251	0.000000	5.618935	0.012535	26.7
457	0.808414	0.000000	5.618935	0.011317	22.0
458	0.851021	0.000000	5.618935	0.011855	21.5
459	0.855539	0.000000	5.618935	0.012784	24.2
460	0.834859	0.000000	5.618935	0.012476	21.0
461	0.834153	0.000000	5.618935	0.011142	28.1
462	0.825660	0.000000	5.618935	0.011920	20.9
463	0.800469	0.000000	5.618935	0.011187	30.0
464	0.849827	0.000000	5.618935	0.012114	25.5
465	0.818237	0.000000	5.618935	0.014341	21.1
466	0.791762	0.000000	5.618935	0.012790	24.3
467	0.834875	0.000000	5.618935	0.011045	27.1
468	0.854924	0.000000	5.618935	0.012205	23.6
469	0.846134	0.000000	5.618935	0.011289	25.2
470	0.820741	0.000000	5.618935	0.012751	21.2
471	0.805899	0.000000	5.618935	0.012635	22.8
472	0.851629	0.000000	5.618935	0.011708	23.4
473	0.832659	0.000000	5.618935	0.011533	22.5
474	0.817450	0.000000	5.618935	0.011584	21.7
475	0.833046	0.000000	5.618935	0.013100	21.1
476	0.794742	0.000000	5.618935	0.011986	24.3
477	0.809428	0.000000	5.618935	0.011105	23.2
478	0.878814	0.000000	5.618935	0.013895	20.8
479	0.819747	0.000000	5.618935	0.011309	22.2
480	0.799424	0.000000	5.618935	0.011580	23.8
481	0.801602	0.000000	5.618935	0.013022	24.1
482	0.813180	0.000000	5.618935	0.010787	20.8
483	0.804172	0.000000	5.618935	0.010853	19.2
484	0.799405	0.000000	5.618935	0.011187	20.3
485	0.819741	0.000000	5.618935	0.012805	21.5
486	0.822540	0.000000	5.618935	0.010956	22.1
487	0.826103	0.000000	5.618935	0.010642	21.8
488	0.827141	0.000000	5.618935	0.011371	20.8
489	0.857636	0.000000	5.618935	0.012478	20.2
490	0.832346	0.000000	5.618935	0.013329	23.8
491	0.816535	0.000000	5.618935	0.010461	20.4
492	0.792794	0.000000	5.618935	0.011702	19.0
493	0.812272	0.000000	5.618935	0.010991	21.0
494	0.831009	0.000000	5.618935	0.011967	19.8
495	0.805199	0.000000	5.618935	0.012274	21.9
496	0.801995	0.000000	5.618935	0.010545	22.3
497	0.839082	0.000000	5.618935	0.013232	23.0
498	0.825473	0.000000	5.618935	0.011306	23.8
499	0.824282	0.000000	5.618935	0.011103	22.1
500	0.814931	0.000000	5.618935	0.011909	22.1
501	0.808987	0.000000	5.618935	0.011329	22.3
502	0.828257	0.000000	5.618935	0.011244	20.6
503	0.796995	0.000000	5.618935	0.012695	22.1
504	0.803525	0.000000	5.618935	0.012293	22.7
505	0.777801	0.000000	5.618935	0.010405	24.0
506	0.803251	0.000000	5.618935	0.010629	20.6
507	0.806993	0.000000	5.618935	0.011666	19.6
508	0.826504	0.000000	5.618935	0.013038	19.9
509	0.802411	0.000000	5.618935	0.011482	19.9
510	0.787912	0.000000	5.618935	0.009959	21.3
511	0.798032	0.000000	5.618935	0.010319	20.2
512	0.800915	0.000000	5.618935	0.011317	25.2
513	0.804129	0.000000	5.618935	0.011792	21.7
514	0.813392	0.000000	5.618935	0.010627	22.4
515	0.822414	0.000000	5.618935	0.011526	22.8
516	0.776538	0.000000	5.618935	0.009881	21.3
517	0.789040	0.000000	5.618935	0.011084	21.7
518	0.815463	0.000000	5.618935	0.011628	20.4
519	0.806271	0.000000	5.618935	0.010553	21.1
520	0.788003	0.000000	5.618935	0.010924	21.7
521	0.792722	0.000000	5.618935	0.010701	19.0
522	0.805093	0.000000	5.618935	0.013831	24.3
523	0.795952	0.000000	5.618935	0.010668	23.3
524	0.834837	0.000000	5.618935	0.010283	21.4
525	0.808554	0.000000	5.618935	0.010633	22.5
526	0.777079	0.000000	5.618935	0.010553	26.6
527	0.775570	0.000000	5.618935	0.011807	21.2
528	0.791667	0.000000	5.618935	0.011618	22.0
529	0.784925	0.000000	5.618935	0.011139	21.0
