1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
277	-1.054973	-0.571781	-0.483202	0.000011	5.294003	639.405626	0.001336	0.002637	0.000000	0.003384	1.2	2.0	1.3	8.3
278	-1.050794	-0.574262	-0.476542	0.000011	4.505725	659.167039	0.001711	0.002378	0.000000	0.003085	1.3	2.0	1.3	8.6
279	-1.063610	-0.583008	-0.480612	0.000010	5.505446	634.304863	0.001210	0.002708	0.000000	0.003367	1.1	2.0	1.2	6.2
280	-1.057218	-0.580613	-0.476616	0.000011	6.366296	614.351811	0.001705	0.003491	0.000000	0.003957	1.1	1.8	1.2	7.0
281	-1.056162	-0.570397	-0.485777	0.000012	5.572639	632.700939	0.001616	0.002093	0.000000	0.003055	1.2	1.7	1.3	6.0
282	-1.068110	-0.579083	-0.489038	0.000011	4.839820	650.644374	0.001302	0.002707	0.000000	0.002671	1.2	1.9	1.2	6.2
283	-1.013661	-0.544704	-0.468968	0.000011	4.205082	667.029514	0.001690	0.003778	0.000000	0.004539	1.1	1.8	1.2	9.8
284	-1.089169	-0.590088	-0.499092	0.000011	5.204693	641.584814	0.001302	0.003049	0.000000	0.003751	1.2	2.0	1.3	6.1
285	-1.077548	-0.602320	-0.475239	0.000011	4.411036	661.623289	0.001600	0.002433	0.000000	0.003438	1.2	1.8	1.5	7.8
286	-1.062037	-0.585998	-0.476050	0.000011	5.293174	639.425781	0.001482	0.002089	0.000000	0.002880	1.1	2.0	1.7	8.8
287	-1.031483	-0.555609	-0.475885	0.000011	4.501654	659.272278	0.001383	0.002348	0.000000	0.002840	1.2	1.8	1.3	6.3
288	-1.059522	-0.581814	-0.477719	0.000011	5.346720	638.126244	0.001043	0.002355	0.000000	0.002976	1.0	1.8	1.0	7.7
289	-1.055255	-0.581675	-0.473591	0.000011	6.346544	614.795547	0.001228	0.002278	0.000000	0.002929	1.1	2.0	1.3	8.2
290	-1.027831	-0.556728	-0.471114	0.000011	5.785093	627.682481	0.001357	0.001961	0.000000	0.002679	1.0	1.8	1.2	5.9
291	-1.054921	-0.560760	-0.494172	0.000011	6.242219	617.149922	0.001401	0.002276	0.000000	0.002841	1.1	1.8	1.4	8.1
292	-1.025294	-0.564547	-0.460758	0.000011	5.531947	633.671293	0.001211	0.002822	0.000000	0.003079	1.1	2.1	1.8	6.9
293	-1.084785	-0.602947	-0.481849	0.000011	4.743364	653.082225	0.001239	0.001815	0.000000	0.002621	1.4	2.1	1.3	6.6
294	-1.077500	-0.587902	-0.489609	0.000011	4.957165	647.702990	0.001266	0.002429	0.000000	0.002761	1.1	1.6	1.0	5.6
